name,fda_verified,fda_generic_name,fda_brand_names,brand,class,subclass,mechanism,route,fda_route,fda_dosage_form,half_life_hr_min,half_life_hr_max,protein_binding_pct,bioavailability_pct,renal_excretion_pct,primary_enzyme,secondary_enzymes,narrow_ti,max_daily_dose_mg,therapeutic_range,monitoring,pregnancy_cat,food_effect,contraindications,notes,fda_warnings_text,fda_contraindications_text,fda_drug_interactions_text,fda_pregnancy_text,top_adverse_reactions,fda_rxcui,fda_ndc,fda_manufacturer
alendronate,True,ALENDRONATE SODIUM,Binosto,Fosamax,bone agent,bisphosphonate,Inhibits osteoclast-mediated bone resorption,oral,ORAL,,2160,2160,78,0.6,50,,,False,40,Bone density improvement (DEXA),"DEXA q2yr|Ca++, Vitamin D levels|Jaw pain (osteonecrosis)|Atypical femur fractures",C,"CRITICAL: Take with FULL GLASS of water (240mL), EMPTY STOMACH, 30 min before any food/drink/medication. REMAIN UPRIGHT 30 min after. Any food reduces absorption >90%.",,Esophageal irritation/ulceration if not taken correctly. Weekly dosing preferred for adherence.,,4 CONTRAINDICATIONS BINOSTO is contraindicated in patients with the following conditions: Abnormalities of the esophagus which delay esophageal emptying such as stricture or achalasia [see Warnings and Precautions (5.1) ] Inability to stand or sit upright for at least 30 minutes [see Dosage and Admi,"7 DRUG INTERACTIONS Calcium supplements, antacids or oral medications containing multivalent cations interfere with absorption of alendronate. ( 7.1 ) Use caution when co-prescribing aspirin/nonsteroidal anti- inflammatory drugs that may worsen gastrointestinal irritation. ( 7.2 , 7.3 ) 7.1 Calcium Supplements/Antacids Co-administration of BINOSTO and calcium, antacids, or oral medications contain",8.1 Pregnancy Risk Summary Available data on the use of BINOSTO in pregnant women are insufficient to inform a drug-associated risk of adverse maternal or fetal outcomes. Discontinue BINOSTO when preg,PAIN|FATIGUE|DRUG INEFFECTIVE|ARTHRALGIA|RHEUMATOID ARTHRITIS|RASH|FEMUR FRACTURE|ABDOMINAL DISCOMFORT,1248077|1248083,70539-400,"Radius Health, Inc."
calcium_carbonate,True,CALCIUM CARBONATE,ANTACID,Tums|Caltrate,mineral supplement,calcium salt,Provides elemental calcium for bone mineralization; antacid,oral,ORAL,,,,0,40,20,,,False,2500,Serum Ca++ 8.5-10.5 mg/dL,Serum Ca++|Renal function,A,Take WITH food — requires gastric acid for absorption. Calcium citrate can be taken without food.,,"Chelates levothyroxine, fluoroquinolones, iron, bisphosphonates — separate 2-4 hours. Constipation common.","Warnings Ask a doctor or pharmacist before use if you are taking a prescription drug. Antacids may interact with certain prescription drugs. Stop use and ask a doctor if symptoms last more than 2 weeks. If pregnant or breast-feeding, ask a health professional before use.",,,,FATIGUE|NAUSEA|OFF LABEL USE|DIARRHOEA|PAIN|DYSPNOEA|DRUG INEFFECTIVE|VOMITING,577040,17714-025,Advance Pharmaceutical Inc.
theophylline,True,THEOPHYLLINE ANHYDROUS,Theophylline (Anhydrous),Theo-Dur|Uniphyl,bronchodilator,methylxanthine,Inhibits phosphodiesterase → increased cAMP; adenosine antagonism,oral|IV,ORAL,,8,10,40,90,10,CYP1A2,CYP3A4,True,1200,5-15 mcg/mL (asthma); 8-13 mcg/mL (COPD),Theophylline level (steady state 48-72hr)|HR|Seizure threshold,C,High-fat meals may increase AUC for sustained-release formulations. Coffee/caffeine additive toxicity.,,"CYP1A2 inducers (smoking, rifampicin) dramatically reduce levels. Fluoroquinolones increase levels. Narrow TI.",WARNINGS Concurrent Illness Theophylline should be used with extreme caution in patients with the following clinical conditions due to the increased risk of exacerbation of the concurrent condition: Active peptic ulcer disease Seizure disorders Cardiac arrhythmias (not including bradyarrhythmias) Co,CONTRAINDICATIONS Theophylline (Anhydrous) Extended-Release Tablets are contraindicated in patients with a history of hypersensitivity to theophylline or other components in the product.,"Drug Interactions Theophylline interacts with a wide variety of drugs. The interaction may be pharmacodynamic, i.e., alterations in the therapeutic response to theophylline or another drug or occurrence of adverse effects without a change in serum theophylline concentration. More frequently, however, the interaction is pharmacokinetic, i.e., the rate of theophylline clearance is altered by another",Pregnancy,DYSPNOEA|ASTHMA|PNEUMONIA|WHEEZING|VOMITING|COUGH|DRUG HYPERSENSITIVITY|DRUG INEFFECTIVE,313291|348472,69367-414|69367-415,"Westminster Pharmaceuticals, LLC"
prednisolone,True,PREDNISOLONE ACETATE,PRED FORTE,Prelone|Delta-Cortef,corticosteroid,glucocorticoid,Binds glucocorticoid receptors → anti-inflammatory gene expression changes,oral|IV|IM,OPHTHALMIC,,3,3.5,70,82,30,CYP3A4,,False,1000,Clinical response; minimize to lowest effective dose,Blood glucose|BP|K+|Bone density (long-term)|Ophthalmology (cataracts)|Growth in children,C,Take WITH food to reduce GI irritation,,HPA axis suppression with prolonged use — taper slowly. Adrenal crisis risk if stopped abruptly.,"WARNINGS Prolonged use of corticosteroids may result in posterior subcapsular cataract formation and may increase intraocular pressure in susceptible individuals, resulting in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision. Prolonged use may also suppress the ","CONTRAINDICATIONS PRED FORTE ® suspension is contraindicated in acute untreated purulent ocular infections, in most viral diseases of the cornea and conjunctiva including epithelial herpes simplex keratitis (dendritic keratitis), vaccinia, and varicella, and also in mycobacterial infection of the ey",,"Pregnancy Prednisolone has been shown to be teratogenic in mice when given in doses 1-10 times the human dose. Dexamethasone, hydrocortisone, and prednisolone were ocularly applied to both eyes of pre",OFF LABEL USE|DRUG INEFFECTIVE|PYREXIA|DYSPNOEA|PNEUMONIA|DIARRHOEA|CONDITION AGGRAVATED|NAUSEA,1376336|1548724,11980-180,"Allergan, Inc."
azathioprine,True,AZATHIOPRINE,Azathioprine,Imuran,immunosuppressant,purine analogue,Prodrug → 6-MP → inhibits purine synthesis → lymphocyte proliferation suppression,oral|IV,ORAL,,5,5,30,88,50,,TPMT|XO,True,5,Clinical response (lymphocyte counts),"CBC weekly for 8 weeks, then monthly|LFTs|TPMT genotype before starting",D,Take WITH food to reduce nausea,,CRITICAL: Allopurinol inhibits xanthine oxidase → 6-MP accumulation → fatal myelosuppression. TPMT testing essential.,"WARNINGS Malignancy Patients receiving immunosuppressants, including azathioprine, are at increased risk of developing lymphoma and other malignancies, particularly of the skin. Physicians should inform patients of the risk of malignancy with azathioprine. As usual for patients with increased risk f",CONTRAINDICATIONS Azathioprine tablets should not be given to patients who have shown hypersensitivity to the drug. Azathioprine tablets should not be used for treating rheumatoid arthritis in pregnant women. Patients with rheumatoid arthritis previously treated with alkylating agents (cyclophospham,"Drug Interactions Use with xanthine oxidase (XO) inhibitors: One of the pathways for inactivation of azathioprine is inhibited by XO inhibitors (allopurinol or febuxostat). Patients receiving azathioprine and allopurinol concomitantly should have a dose reduction of azathioprine, to approximately 1/ 3 to 1/ 4 the usual dose. Concomitant use of azathioprine with febuxostat is not recommended. Inhib",Pregnancy Azathioprine tablets can cause fetal harm when administered to a pregnant woman. Azathioprine tablets should not be given during pregnancy without careful weighing of risk versus benefit. Wh,OFF LABEL USE|DRUG INEFFECTIVE|CONDITION AGGRAVATED|ARTHRALGIA|DIARRHOEA|FATIGUE|NAUSEA|DRUG INTOLERANCE,197388,68084-229,American Health Packaging
cyclosporine,True,CYCLOSPORINE OPHTHALMIC SOLUTION,VEVYE,Neoral|Sandimmune|Gengraf,immunosuppressant,calcineurin inhibitor,Binds cyclophilin → inhibits calcineurin → reduced IL-2 transcription → T-cell suppression,oral|IV,OPHTHALMIC,,27,27,90,30,0,CYP3A4,P-gp,True,,Trough: 100-400 ng/mL (transplant-type/time dependent),Cyclosporine trough q1-2 weeks|Cr|BP|K+|LFTs|CBC|Gingival hyperplasia,C,Consistent food intake essential — high-fat meal increases AUC. Grapefruit increases levels significantly.,,"Extreme drug interaction profile (CYP3A4/P-gp). Nephrotoxic. Hypertension, hyperlipidemia common.",,4 CONTRAINDICATIONS None. None. ( 4 ),,8.1 Pregnancy Risk Summary There are no adequate and well-controlled studies of VEVYE administration in pregnant women to inform a drug-associated risk. Oral administration of cyclosporine to pregnant,DRUG INEFFECTIVE|OFF LABEL USE|PRODUCT USE IN UNAPPROVED INDICATION|PYREXIA|DIARRHOEA|NAUSEA|CONDITION AGGRAVATED|PNEUMONIA,2639936|2639941,82667-900,"Harrow Eye, LLC"
hydroxychloroquine,True,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,Plaquenil,antimalarial/antirheumatic,aminoquinoline,Alkalinizes lysosomes → inhibits antigen processing; anti-inflammatory,oral,ORAL,,480,720,50,74,22,CYP2D6,CYP3A4,False,400,Clinical response (RA/SLE),Ophthalmology annually (retinopathy)|QT interval|CBC,C,Take WITH food or milk — reduces GI effects,,Retinopathy risk with cumulative dose >5 mg/kg/day. QT prolongation. Safe in pregnancy for lupus.,,4 CONTRAINDICATIONS Hydroxychloroquine sulfate tablets are contraindicated in patients with known hypersensitivity to 4-aminoquinoline compounds. Patients with hypersensitivity to 4-aminoquinoline compounds ( 4 ),7 DRUG INTERACTIONS Drugs Prolonging QT Interval and Other Arrhythmogenic Drugs. ( 7.1 ) See FPI for more important drug interactions. ( 7 ) 7.1 Drugs Prolonging QT Interval and Other Arrhythmogenic Drugs Hydroxychloroquine sulfate tablets prolongs the QT interval. There may be an increased risk of inducing ventricular arrhythmias if hydroxychloroquine sulfate tablets are used concomitantly with o,8.1 Pregnancy Pregnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to hydroxychloroquine sulfate tablets during pregnancy. Encourage pat,DRUG INEFFECTIVE|RHEUMATOID ARTHRITIS|OFF LABEL USE|PAIN|FATIGUE|DRUG INTOLERANCE|ARTHRALGIA|JOINT SWELLING,979092,82619-131,Creekwood Pharmaceuticals LLC
morphine,True,MORPHINE SULFATE,MORPHINE SULFATE,MS Contin|MSIR|Morphine Sulphate,opioid analgesic,full mu-opioid agonist,"Binds mu-opioid receptors in CNS and periphery → analgesia, sedation, euphoria",oral|IV|IM|subcutaneous,ORAL,,2,4,35,30,90,UGT2B7,,True,,Pain control (VAS ≤3); avoid respiratory depression,Respiratory rate|Pain scores|Sedation scale|Constipation|Opioid withdrawal,C,Extended-release: do not crush or chew. Food increases Cmax for IR formulation slightly.,severe respiratory depression|paralytic ileus|acute asthma,Active metabolite morphine-6-glucuronide (M6G) accumulates in renal failure — reduce dose or increase interval. Naloxone reversal available.,,4 CONTRAINDICATIONS Morphine sulfate tablets are contraindicated in patients with: Significant respiratory depression [see Warnings and Precautions ( 5.2 )]. Acute or severe bronchial asthma in an unmonitored setting or in the absence of resuscitative equipment [see Warnings and Precautions ( 5.7 )],"7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with morphine sulfate tablets. Table 1: Clinically Significant Drug Interactions with Morphine sulfate tablets Benzodiazepines and Other Central Nervous System (CNS) Depressants Clinical Impact: Due to additive pharmacologic effect, the concomitant use of benzodiazepines or other CNS depressants, including alcohol, can i",8.1 Pregnancy Risk Summary: U se of opioid analgesics for an extended period of time during pregnancy can cause neonatal opioid withdrawal syndrome [see Warnings and Precautions ( 5.4 )] . There are n,DRUG DEPENDENCE|PAIN|OVERDOSE|DRUG HYPERSENSITIVITY|NAUSEA|DEATH|DRUG INEFFECTIVE|VOMITING,892582|892672,67877-670|67877-671,"Ascend Laboratories, LLC"
codeine,True,CODEINE SULFATE,Codeine sulfate,Tylenol with Codeine|Codeine Phosphate,opioid analgesic,prodrug opioid,Prodrug → O-demethylation by CYP2D6 → morphine (active) → mu-opioid receptor agonism,oral|IM,ORAL,,3,4,7,60,70,CYP2D6,CYP3A4,True,360,Analgesia without excess sedation,Respiratory rate|Sedation|CYP2D6 phenotype,C,Can be taken with food to reduce GI upset,,CYP2D6 ultra-rapid metabolizers (URM): life-threatening morphine toxicity. CONTRAINDICATED in children post-tonsillectomy and breastfeeding. PM: no analgesic effect.,,4 CONTRAINDICATIONS Codeine Sulfate Tablets are contraindicated for: • All children younger than 12 years of age [see Warnings and Precautions ( 5.6 )] . • Post-operative management in children younger than 18 years of age following tonsillectomy and/or adenoidectomy [see Warnings and Precautions ( ,"7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytoc",8.1 Pregnancy Risk Summary: Use of opioid analgesics for an extended period of time during pregnancy may cause neonatal opioid withdrawal syndrome [see Warnings and Precautions ( 5.4 )] . Available da,DRUG HYPERSENSITIVITY|PAIN|DRUG INEFFECTIVE|FATIGUE|DEPENDENCE|NAUSEA|ARTHRALGIA|RASH,997170|997287|997296,0054-0243|0054-0245,Hikma Pharmaceuticals USA Inc.
tramadol,True,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,Ultram|Tramal,opioid analgesic,atypical opioid + NRI/SRI,Weak mu-opioid agonism + serotonin/norepinephrine reuptake inhibition,oral|IV|IM,ORAL,,6,7,20,75,30,CYP2D6,CYP3A4,False,400,Analgesic effect; avoid serotonin syndrome,Serotonin syndrome signs|Seizure risk|CYP2D6 phenotype,C,Can be taken with or without food,,Serotonin syndrome risk with SSRIs/SNRIs/MAOIs. Lowers seizure threshold. CYP2D6 inhibitors reduce analgesic efficacy.,,4 CONTRAINDICATIONS Tramadol hydrochloride extended-release tablets are contraindicated for: all children younger than 12 years of age [see Warnings and Precautions (5.4)] post-operative management in children younger than 18 years of age following tonsillectomy and/or adenoidectomy [see Warnings an,7 DRUG INTERACTIONS Table 2 includes clinically significant drug interactions with tramadol hydrochloride extended-release tablets. Table 2: Clinically Significant Drug Interactions with Tramadol Hydrochloride Extended-Release Tablets Inhibitors of CYP2D6 Clinical Impact: The concomitant use of tramadol hydrochloride extended-release tablets and CYP2D6 inhibitors may result in an increase in the p,8.1 Pregnancy Risk Summary Use of opioid analgesics for an extended period of time during pregnancy may cause neonatal opioid withdrawal syndrome [see Warnings and Precautions (5.4)] . Available data ,DRUG DEPENDENCE|PAIN|NAUSEA|OVERDOSE|FATIGUE|DRUG INEFFECTIVE|VOMITING|HEADACHE,833709|833711|833713,47335-859|47335-860,"Sun Pharmaceutical Industries, Inc."
fentanyl,True,FENTANYL CITRATE,Fentanyl Citrate,Duragesic|Sublimaze|Fentora,opioid analgesic,synthetic opioid,Potent mu-opioid receptor agonist; high lipophilicity → rapid CNS entry,IV|transdermal|sublingual|nasal,INTRAMUSCULAR|INTRAVENOUS,,3,7,84,92,10,CYP3A4,,True,,Analgesic; avoid respiratory depression,Respiratory rate|Sedation|Patch site (transdermal)|QTc,C,"Transdermal: heat (fever, electric blanket) increases absorption 3x — avoid. Sublingual: do not eat/drink for 15 min.",acute or severe bronchial asthma|opioid non-tolerant patients (high-strength patches),100x more potent than morphine. Transdermal takes 12-24hr to reach steady state. CYP3A4 inhibitors dramatically increase levels.,,"4 CONTRAINDICATIONS Fentanyl Citrate Injection is contraindicated in patients with: • Hypersensitivity to fentanyl (e.g., anaphylaxis) [See Adverse Reactions ( 6 )] • Hypersensitivity to fentanyl ( 4 )","7 DRUG INTERACTIONS Table 2 includes clinically significant drug interactions with Fentanyl Citrate Injection. Table 2: Clinically Significant Drug Interactions with Fentanyl Citrate Injection Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Fentanyl Citrate Injection and CYP3A4 inhibitors can increase the plasma concentration of fentanyl, resulting in increased or prolonged opioid eff",8.1 Pregnancy Risk Summary Use of opioid analgesics for an extended period of time during pregnancy may cause neonatal opioid withdrawal syndrome. Available data with Fentanyl Citrate Injection in pre,DRUG ABUSE|DRUG INEFFECTIVE|PAIN|OVERDOSE|DEATH|TOXICITY TO VARIOUS AGENTS|NAUSEA|DRUG DEPENDENCE,2474267|2474269,63323-808|63323-810,"Fresenius Kabi USA, LLC"
oxycodone,True,OXYCODONE HYDROCHLORIDE,Oxycodone Hydrochloride,OxyContin|Percocet|Roxicodone,opioid analgesic,semi-synthetic opioid,Mu-opioid receptor agonist,oral,ORAL,,4,5,45,60,19,CYP3A4,CYP2D6,True,,Analgesia without respiratory depression,Respiratory rate|Abuse potential assessment|Hepatic function (combo with APAP),C,High-fat meal increases Cmax 25% for ER formulation. IR: take with or without food.,,ER formulation: do not crush/chew (dose dumping risk). Combination products contain paracetamol — monitor total APAP dose.,,4 CONTRAINDICATIONS Oxycodone hydrochloride is contraindicated in patients with: Significant respiratory depression [see Warnings and Precautions (5.2)]. Acute or severe bronchial asthma in an unmonitored setting or in the absence of resuscitative equipment or hypercarbia [see Warnings and Precautio,"7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with oxycodone hydrochloride. Table 1: Clinically Significant Drug Interactions with Oxycodone Hydrochloride Inhibitors of CYP3A4 and CYP2D6 Clinical Impact: The concomitant use of oxycodone hydrochloride and CYP3A4 inhibitors can increase the plasma concentration of oxycodone, resulting in increased or prolonged opioid ",,DRUG DEPENDENCE|OVERDOSE|PAIN|DEATH|EMOTIONAL DISTRESS|TOXICITY TO VARIOUS AGENTS|DRUG WITHDRAWAL SYNDROME|DEPENDENCE,1049611|1049618|1049621,31722-484|31722-485,Camber Pharmaceuticals Inc
haloperidol,True,HALOPERIDOL,Haloperidol,Haldol,antipsychotic,typical (first-generation) antipsychotic,D2 receptor antagonism in mesolimbic pathway,oral|IM|IV,ORAL,,18,36,92,60,40,CYP3A4,CYP2D6,False,100,Serum: 5-20 ng/mL (optional TDM),EPS (AIMS scale)|QTc interval|Metabolic panel|Prolactin if symptomatic,C,Take with food to reduce GI effects. Oral solution: dilute in water or juice.,,Highest EPS risk of all antipsychotics. QT prolongation. Avoid IV route due to arrhythmia risk. Depot (decanoate) available for adherence.,WARNINGS Increased Mortality in Elderly Patients with Dementia-Related Psychosis Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death. Haloperidol is not approved for the treatment of patients with dementia-related psychosis (see BOXED W,CONTRAINDICATIONS Haloperidol tablets are contraindicated in severe toxic central nervous system depression or comatose states from any cause and in individuals who are hypersensitive to this drug or have Parkinson's disease.,,,DRUG INEFFECTIVE|DRUG INTERACTION|NEUROLEPTIC MALIGNANT SYNDROME|OFF LABEL USE|WEIGHT INCREASED|EXTRAPYRAMIDAL DISORDER|TOXICITY TO VARIOUS AGENTS|AGITATION,197754|310670|310671,70756-001|70756-002,Lifestar Pharma LLC
olanzapine,True,OLANZAPINE,Olanzapine,Zyprexa,antipsychotic,atypical (second-generation) antipsychotic,"D2, 5-HT2A, H1, M1, alpha-1 antagonism",oral|IM,ORAL,,30,38,93,80,57,CYP1A2,UGT1A4,False,20,Plasma: 20-80 ng/mL (TDM guided),Weight/BMI monthly|Fasting glucose/HbA1c|Lipids|BP|EPS (less common),C,Can be taken with or without food,,"High metabolic side effect profile (weight gain, T2DM, dyslipidaemia). Smoking induces CYP1A2 — smokers need higher dose; dose reduction on smoking cessation.",,"4 CONTRAINDICATIONS None with olanzapine monotherapy. When using olanzapine and fluoxetine in combination, also refer to the Contraindications section of the package insert for Symbyax. For specific information about the contraindications of lithium or valproate, refer to the Contraindications secti","7 DRUG INTERACTIONS The risks of using olanzapine in combination with other drugs have not been extensively evaluated in systematic studies. Diazepam: May potentiate orthostatic hypotension. ( 7.1 , 7.2 ) Alcohol: May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine. ( 7.1 ) Fluvoxamine: May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine i","8.1 Pregnancy Pregnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to atypical antipsychotics, including Olanzapine Tablets, during preg",DRUG INEFFECTIVE|OFF LABEL USE|TOXICITY TO VARIOUS AGENTS|DRUG INTERACTION|WEIGHT INCREASED|SOMNOLENCE|NAUSEA|CONDITION AGGRAVATED,312076|314155|351107,0527-3161|0527-3162,"Lannett Company, Inc."
quetiapine,True,QUETIAPINE,Quetiapine,Seroquel,antipsychotic,atypical antipsychotic,"D2, 5-HT2A, H1, alpha-1 antagonism; lower D2 affinity than haloperidol",oral,ORAL,,6,7,83,9,73,CYP3A4,,False,800,Plasma: 100-500 ng/mL,Weight|Metabolic panel|QTc|Sedation|Orthostatic BP,C,Food increases Cmax 25-52% — take consistently (always with or always without food).,,Low EPS risk. QT prolongation. Strong sedation (H1). CYP3A4 inducers (carbamazepine) dramatically reduce levels — may need 5x dose increase.,,4 CONTRAINDICATIONS Hypersensitivity to quetiapine or to any excipients in the quetiapine formulation. Anaphylactic reactions have been reported in patients treated with quetiapine. Known hypersensitivity to quetiapine or any components in the formulation. ( 4 ),"7 DRUG INTERACTIONS Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7-14 days) of potent CYP3A4 inducers (e.g., phenytoin,","8.1 Pregnancy Pregnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to atypical antipsychotics, including quetiapine tablets, during preg",TOXICITY TO VARIOUS AGENTS|DRUG INEFFECTIVE|OFF LABEL USE|DRUG INTERACTION|COMPLETED SUICIDE|FATIGUE|NAUSEA|CONDITION AGGRAVATED,312743,71335-1462,Bryant Ranch Prepack
risperidone,True,RISPERIDONE,RISPERIDONE,Risperdal,antipsychotic,atypical antipsychotic,"D2 and 5-HT2A antagonism; also alpha-1, H1",oral|IM depot,ORAL,,20,24,90,70,70,CYP2D6,CYP3A4,False,16,Plasma: 20-60 ng/mL (risperidone + 9-OH-risperidone),EPS/akathisia|Prolactin|Weight|Metabolic panel|QTc,C,Can be taken with or without food,,"CYP2D6 PMs: higher risperidone, less 9-OH-risperidone; similar clinical effect but adjust for tolerability. Depot (Risperdal Consta) q2wk.",,"4 CONTRAINDICATIONS Risperidone tablets are contraindicated in patients with a known hypersensitivity to either risperidone or paliperidone, or to any of the excipients in the risperidone tablets formulation. Hypersensitivity reactions, including anaphylactic reactions and angioedema, have been repo","7 DRUG INTERACTIONS Carbamazepine and other enzyme inducers decrease plasma concentrations of risperidone. Increase the risperidone tablets dose up to double the patient’s usual dose. Titrate slowly. ( 7.1 ) Fluoxetine, paroxetine, and other CYP 2D6 enzyme inhibitors increase plasma concentrations of risperidone. Reduce the initial dose. Do not exceed a final dose of 8 mg per day of risperidone ta","8.1 Pregnancy Pregnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to atypical antipsychotics, including risperidone, during pregnancy. ",GYNAECOMASTIA|OFF LABEL USE|DRUG INEFFECTIVE|WEIGHT INCREASED|DRUG INTERACTION|PRODUCT USE IN UNAPPROVED INDICATION|ABNORMAL WEIGHT GAIN|EMOTIONAL DISORDER,312830,70518-0364,REMEDYREPACK INC.
clozapine,True,CLOZAPINE,Clozapine,Clozaril,antipsychotic,atypical antipsychotic (dibenzodiazepine),"D4 > D2 antagonism; 5-HT2, H1, M1, alpha antagonism; superior efficacy in treatment-resistant schizophrenia",oral,ORAL,,12,16,97,60,50,CYP1A2,CYP3A4|CYP2D6,True,900,Plasma trough: 350-600 ng/mL,"ANC weekly for 6 months, then bi-weekly, then monthly (agranulocytosis)|Weight|Glucose|Lipids|BP|ECG",B,Can be taken with or without food,history of clozapine-induced agranulocytosis|uncontrolled epilepsy|severe CNS depression,REMS program required. Agranulocytosis risk — absolute neutrophil count monitoring mandatory. Myocarditis risk in first 4 weeks. Smoking cessation dramatically increases levels (CYP1A2).,,"4 CONTRAINDICATIONS Clozapine ODT is contraindicated in patients with a history of hypersensitivity to clozapine (e.g., photosensitivity, vasculitis, erythema multiforme, or Stevens-Johnson Syndrome) or any other component of Clozapine ODT [see Adverse Reactions (6.2) ] . Known hypersensitivity to c","7 DRUG INTERACTIONS Concomitant use of Strong CYP1A2 Inhibitors : Reduce Clozapine ODT dose to one-third when coadministered with strong CYP1A2 inhibitors (e.g., fluvoxamine, ciprofloxacin, enoxacin). ( 2.7 , 7.1 ) Concomitant use of Strong CYP3A4 Inducers is not recommended. ( 2.7 , 7.1 ) Discontinuation of CYP1A2 or CYP3A4 Inducers: Consider reducing Clozapine ODT dose when CYP1A2 (e.g., tobacco","8.1 Pregnancy Pregnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to atypical antipsychotics, including Clozapine ODT, during pregnancy",NEUTROPENIA|HOSPITALISATION|DEATH|GRANULOCYTOPENIA|DRUG INEFFECTIVE|DRUG INTERACTION|NEUTROPHILIA|OFF LABEL USE,476177,48433-022,"Safecor Health, LLC"
acyclovir,True,ACYCLOVIR,Acyclovir,Zovirax,antiviral,nucleoside analogue (herpes),Thymidine kinase phosphorylation → acyclovir triphosphate inhibits HSV/VZV DNA polymerase,oral|IV|topical,ORAL,,2.5,3.5,15,20,90,,,False,4000,Clinical response (HSV/VZV suppression),Renal function (IV — crystals can precipitate)|Hydration|CBC in immunosuppressed,B,Can be taken with or without food. Adequate hydration required (especially IV — prevents crystalluria).,,IV: hydrate well to prevent tubular crystallization. Dose reduce if CrCl <50. Valacyclovir is oral prodrug with 3-5x better bioavailability.,"WARNINGS Acyclovir capsules are intended for oral ingestion only. Renal failure, in some cases resulting in death, has been observed with acyclovir therapy (see ADVERSE REACTIONS: Observed During Clinical Practice and OVERDOSAGE ). Thrombotic thrombocytopenic purpura/hemolytic uremic syndrome (TTP/H",CONTRAINDICATIONS Acyclovir is contraindicated for patients who develop hypersensitivity to acyclovir or valacyclovir.,Drug Interactions: See CLINICAL PHARMACOLOGY: Pharmacokinetics .,"Pregnancy: Teratogenic Effects: Pregnancy Category B. Acyclovir administered during organogenesis was not teratogenic in the mouse (450 mg/kg/day, p.o.), rabbit (50 mg/kg/day, s.c. and IV), or rat (50",FATIGUE|DIARRHOEA|OFF LABEL USE|NAUSEA|PNEUMONIA|PYREXIA|DEATH|DRUG INEFFECTIVE,197310,71335-1290,Bryant Ranch Prepack
valacyclovir,True,VALACYCLOVIR,Valacyclovir Hydrochloride,Valtrex,antiviral,nucleoside analogue prodrug (herpes),Prodrug of acyclovir; L-valine ester → better oral bioavailability → same mechanism as acyclovir,oral,ORAL,,2.5,3.5,15,55,90,,,False,3000,Clinical response,Renal function|Hydration,B,Can be taken with or without food,,Preferred oral formulation over acyclovir for bioavailability. Dose reduce if CrCl <50.,,"4 CONTRAINDICATIONS Valacyclovir tablets are contraindicated in patients who have had a demonstrated clinically significant hypersensitivity reaction [e.g., anaphylaxis, severe cutaneous adverse reactions (SCARs)] to valacyclovir, acyclovir, or any component of the formulation [see Warnings and Prec",7 DRUG INTERACTIONS No clinically significant drug-drug or drug-food interactions with valacyclovir tablets are known [see Clinical Pharmacology (12.3) ].,"8.1 Pregnancy Risk Summary Clinical data over several decades with valacyclovir and its metabolite, acyclovir, in pregnant women, have not identified a drug associated risk of major birth defects. The",OFF LABEL USE|FATIGUE|DIARRHOEA|NAUSEA|DRUG INEFFECTIVE|FEBRILE NEUTROPENIA|PYREXIA|PNEUMONIA,313565,48433-144,Safecor Health LLC
